Date,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,VIX Open,VIX High,VIX Low,VIX Close
2015-01-05,204.169998,204.369995,201.350006,201.720001,178.860443,169632600,19.190001,21.290001,19.190001,19.92
2015-01-06,202.089996,202.720001,198.860001,199.820007,177.175781,209151400,20.33,22.9,19.52,21.120001
2015-01-07,201.419998,202.720001,200.880005,202.309998,179.383591,125346700,20.15,20.719999,19.040001,19.309999
2015-01-08,204.009995,206.160004,203.990005,205.899994,182.566742,147217800,17.93,18.09,16.99,17.01
2015-01-09,206.399994,206.419998,203.509995,204.25,181.103745,158567300,16.440001,18.42,16.440001,17.549999
2015-01-12,204.410004,204.600006,201.919998,202.649994,179.685043,144396100,18.02,20.440001,18.02,19.6
2015-01-13,204.119995,205.479996,200.509995,202.080002,179.179642,214553300,18.209999,21.58,17.65,20.559999
2015-01-14,199.649994,201.100006,198.570007,200.860001,178.0979,192991100,22.870001,23.34,21.32,21.48
2015-01-15,201.630005,202.009995,198.880005,199.020004,176.466446,176613900,21.23,23.309999,20.860001,22.389999
2015-01-16,198.770004,201.820007,198.550003,201.630005,178.78064,211879600,22.799999,23.43,20.950001,20.950001
2015-01-20,202.399994,202.720001,200.169998,202.059998,179.161957,130991100,20.07,21.370001,19.58,19.889999
2015-01-21,201.5,203.660004,200.940002,203.080002,180.066345,122942700,20.92,21.280001,18.639999,18.85
2015-01-22,203.990005,206.259995,202.330002,206.100006,182.744095,174356000,17.98,19.23,16.07,16.4
2015-01-23,205.789993,206.100006,204.809998,204.970001,181.742126,117516800,16.790001,17.09,15.81,16.66
2015-01-26,204.710007,205.559998,203.850006,205.449997,182.167694,92009700,16.959999,17.43,15.52,15.52
2015-01-27,202.970001,204.119995,201.740005,202.740005,179.764816,134044600,17.6,18.41,16.67,17.219999
2015-01-28,204.169998,204.289993,199.910004,200.139999,177.459442,168514300,16.969999,20.440001,16.92,20.440001
2015-01-29,200.380005,202.300003,198.679993,201.990005,179.099823,173585400,20.459999,21.559999,18.66,18.76
2015-01-30,200.570007,202.169998,199.130005,199.449997,176.847672,197729700,20.23,22.18,19.24,20.969999
2015-02-02,200.050003,202.029999,197.860001,201.919998,179.03775,163107000,20.889999,22.809999,19.35,19.43
